age,salary,purchases,churn,customer_value
38,94001,11,0,1034011
52,56969,0,0,0
47,110666,5,0,553330
53,115788,11,0,1273668
46,85773,0,0,0
55,107160,7,0,750120
38,37641,10,0,376410
18,92854,14,0,1299956
31,53549,11,0,589039
48,66264,14,0,927696
30,23557,17,0,400469
22,25460,1,1,25460
43,70029,5,0,350145
34,86110,12,0,1033320
35,91147,7,0,638029
48,66077,8,0,528616
39,59297,15,0,889455
54,32594,16,0,521504
37,43370,9,0,390330
29,63262,15,0,948930
29,39735,16,0,635760
59,111614,0,0,0
55,28016,9,0,252144
39,59008,7,0,413056
27,108339,9,0,975051
27,52859,4,0,211436
42,38095,14,0,533330
18,82468,19,0,1566892
59,115418,0,0,0
29,53353,7,0,373471
35,111465,10,0,1114650
52,117356,3,0,352068
36,112051,4,0,448204
57,22053,6,0,132318
51,39415,7,0,275905
32,61881,11,0,680691
44,77297,10,0,772970
19,30510,15,0,457650
51,34547,12,0,414564
57,80499,4,0,321996
53,110449,8,0,883592
48,112143,18,0,2018574
18,43346,12,0,520152
53,67161,6,0,402966
36,36244,16,0,579904
39,98654,17,0,1677118
58,53382,16,0,854112
52,97118,11,0,1068298
34,59643,17,0,1013931
56,108504,2,0,217008
41,97421,19,0,1850999
32,92562,13,0,1203306
51,88252,10,0,882520
37,35494,9,0,319446
23,26651,14,0,373114
40,107864,1,0,107864
37,62582,6,0,375492
36,26076,9,0,234684
19,88563,10,0,885630
45,35617,2,1,71234
56,79689,4,0,318756
30,32950,11,0,362450
53,101294,2,0,202588
33,81363,14,0,1139082
29,102048,16,0,1632768
58,84032,14,0,1176448
26,76271,12,0,915252
23,43592,7,0,305144
56,114846,16,0,1837536
40,40889,1,1,40889
55,74428,17,0,1265276
58,112039,18,0,2016702
45,66174,10,0,661740
32,98659,15,0,1479885
56,59279,15,0,889185
56,50955,14,0,713370
31,108042,0,0,0
37,81259,2,0,162518
26,117391,7,0,821737
39,63298,0,0,0
21,41652,5,0,208260
18,89176,19,0,1694344
47,94690,12,0,1136280
52,118502,6,0,711012
55,67320,3,0,201960
53,66662,1,0,66662
47,73723,10,0,737230
28,55218,8,0,441744
22,27817,6,0,166902
43,63017,17,0,1071289
19,105050,0,0,0
21,115559,15,0,1733385
37,36555,3,1,109665
32,68897,8,0,551176
49,111270,15,0,1669050
19,20952,16,0,335232
37,88931,14,0,1245034
49,119044,16,0,1904704
40,31740,3,1,95220
33,44164,15,0,662460
35,23250,9,0,209250
46,43906,8,0,351248
46,92474,17,0,1572058
47,34222,2,1,68444
48,58106,6,0,348636
45,60339,12,0,724068
21,69803,2,0,139606
37,102524,2,0,205048
58,90968,7,0,636776
44,101558,5,0,507790
18,20833,10,0,208330
56,37897,15,0,568455
54,35351,7,0,247457
54,23272,11,0,255992
39,67969,19,0,1291411
38,108240,17,0,1840080
53,64399,5,0,321995
24,109369,10,0,1093690
31,30434,5,0,152170
27,32503,8,0,260024
29,118155,14,0,1654170
22,42087,4,1,168348
32,94015,13,0,1222195
38,32568,11,0,358248
45,112599,11,0,1238589
25,20535,6,0,123210
48,29159,0,1,0
35,73519,0,0,0
21,109286,4,0,437144
55,54407,12,0,652884
42,81931,11,0,901241
38,93759,6,0,562554
53,73021,6,0,438126
50,85304,15,0,1279560
42,69578,2,0,139156
56,32069,10,0,320690
30,24561,18,0,442098
44,46930,19,0,891670
36,23429,19,0,445151
18,25044,8,0,200352
33,105531,3,0,316593
26,58399,7,0,408793
42,23434,1,1,23434
26,31715,12,0,380580
39,27202,9,0,244818
55,87982,8,0,703856
39,73227,4,0,292908
43,48301,15,0,724515
53,20985,19,0,398715
20,65019,4,0,260076
57,37430,6,0,224580
20,93773,3,0,281319
49,118815,18,0,2138670
26,59254,3,0,177762
46,28886,4,1,115544
22,89460,5,0,447300
58,92891,1,0,92891
29,48038,0,1,0
37,42432,5,0,212160
23,106204,9,0,955836
41,69964,11,0,769604
49,60331,9,0,542979
23,39542,11,0,434962
18,54287,17,0,922879
43,50583,10,0,505830
45,62670,14,0,877380
34,45791,0,1,0
19,50910,15,0,763650
40,107950,10,0,1079500
44,35210,6,0,211260
23,79851,8,0,638808
59,57656,17,0,980152
18,67062,5,0,335310
20,117873,8,0,942984
36,46484,3,1,139452
24,58235,2,0,116470
55,53625,14,0,750750
25,96236,8,0,769888
26,64364,4,0,257456
56,107792,17,0,1832464
41,58847,6,0,353082
22,59733,11,0,657063
54,53029,17,0,901493
26,45511,5,0,227555
19,47221,1,1,47221
56,82510,13,0,1072630
53,118923,17,0,2021691
45,29680,16,0,474880
20,56782,13,0,738166
57,59694,9,0,537246
41,47644,2,1,95288
31,50771,15,0,761565
46,61403,5,0,307015
32,38415,5,0,192075
18,57600,10,0,576000
21,41785,17,0,710345
55,58506,17,0,994602
37,105641,11,0,1162051
32,119101,10,0,1191010
35,47444,3,1,142332
47,34779,19,0,660801
30,98522,4,0,394088
31,36409,11,0,400499
48,114106,9,0,1026954
46,114613,4,0,458452
22,119491,18,0,2150838
45,85868,4,0,343472
32,32876,11,0,361636
33,32586,10,0,325860
22,31347,4,1,125388
31,50411,10,0,504110
19,21537,10,0,215370
51,36152,1,1,36152
36,93861,17,0,1595637
40,118631,0,0,0
57,67170,16,0,1074720
49,40640,2,1,81280
48,114443,8,0,915544
50,99084,0,0,0
19,111049,0,0,0
32,48585,5,0,242925
59,96114,15,0,1441710
23,81724,4,0,326896
44,26573,1,1,26573
47,76174,15,0,1142610
31,114610,0,0,0
58,26657,8,0,213256
44,53055,2,0,106110
38,109017,14,0,1526238
58,56266,17,0,956522
19,96866,15,0,1452990
25,28279,2,1,56558
28,113641,13,0,1477333
49,82379,8,0,659032
38,31242,19,0,593598
41,28383,6,0,170298
35,53308,6,0,319848
38,77598,12,0,931176
48,21111,18,0,379998
50,28262,19,0,536978
41,112158,17,0,1906686
44,98941,13,0,1286233
37,54813,12,0,657756
27,116969,16,0,1871504
56,69783,3,0,209349
27,58939,11,0,648329
34,71112,0,0,0
34,84255,6,0,505530
18,53692,8,0,429536
40,96532,8,0,772256
39,102106,14,0,1429484
38,43381,19,0,824239
45,117101,17,0,1990717
53,51258,19,0,973902
32,73856,9,0,664704
42,110169,1,0,110169
57,56756,6,0,340536
42,52706,7,0,368942
25,65086,11,0,715946
40,77302,14,0,1082228
37,20730,18,0,373140
49,65285,19,0,1240415
56,88303,10,0,883030
59,36649,9,0,329841
32,21141,7,0,147987
53,55496,15,0,832440
35,59035,0,0,0
37,48173,10,0,481730
44,21571,9,0,194139
30,65635,14,0,918890
52,90825,10,0,908250
29,58319,8,0,466552
39,64008,14,0,896112
35,117559,1,0,117559
33,25608,2,1,51216
46,45718,14,0,640052
51,64459,14,0,902426
42,84375,17,0,1434375
23,81895,8,0,655160
27,50972,11,0,560692
34,38064,4,1,152256
40,37609,10,0,376090
33,36457,18,0,656226
38,70095,7,0,490665
34,84001,17,0,1428017
35,49630,1,1,49630
59,69959,4,0,279836
40,110291,3,0,330873
23,70561,4,0,282244
47,37700,8,0,301600
36,113847,11,0,1252317
44,33656,7,0,235592
43,64467,9,0,580203
49,40487,1,1,40487
54,77661,13,0,1009593
43,21406,16,0,342496
44,83163,17,0,1413771
50,109425,4,0,437700
32,71148,10,0,711480
41,89216,0,0,0
54,55005,8,0,440040
38,103914,1,0,103914
25,99433,0,0,0
36,54074,13,0,702962
52,52213,7,0,365491
34,34002,19,0,646038
26,112840,4,0,451360
26,62629,7,0,438403
48,112502,3,0,337506
53,67417,18,0,1213506
57,44518,14,0,623252
59,95721,5,0,478605
23,45946,3,1,137838
33,58414,5,0,292070
46,107221,13,0,1393873
33,63972,6,0,383832
46,44650,1,1,44650
51,59052,0,0,0
49,93806,6,0,562836
49,91514,7,0,640598
26,113444,0,0,0
56,21183,8,0,169464
19,92652,10,0,926520
39,65865,2,0,131730
58,108685,19,0,2065015
39,110056,13,0,1430728
50,92714,0,0,0
51,94801,1,0,94801
42,103962,11,0,1143582
46,24401,17,0,414817
28,47730,1,1,47730
18,98744,1,0,98744
41,103984,16,0,1663744
53,82892,4,0,331568
18,108437,11,0,1192807
46,94566,6,0,567396
54,51356,19,0,975764
45,97263,11,0,1069893
58,97387,12,0,1168644
28,61633,17,0,1047761
30,104003,10,0,1040030
39,43101,12,0,517212
28,45273,6,0,271638
51,110307,15,0,1654605
42,67645,17,0,1149965
19,99618,10,0,996180
18,24217,1,1,24217
38,81145,12,0,973740
30,111315,17,0,1892355
51,111246,4,0,444984
22,118621,19,0,2253799
56,65525,7,0,458675
38,116818,10,0,1168180
23,68145,8,0,545160
58,87255,12,0,1047060
47,48184,10,0,481840
46,77649,6,0,465894
45,55932,7,0,391524
49,29959,8,0,239672
51,59696,17,0,1014832
54,23346,13,0,303498
23,97772,8,0,782176
47,52715,13,0,685295
34,115697,4,0,462788
22,106134,11,0,1167474
35,84623,1,0,84623
20,95286,17,0,1619862
21,56401,1,0,56401
38,109011,10,0,1090110
19,60537,19,0,1150203
35,63277,16,0,1012432
35,57887,19,0,1099853
52,112336,6,0,674016
25,46011,18,0,828198
39,116306,10,0,1163060
48,38004,15,0,570060
59,111342,18,0,2004156
58,57765,11,0,635415
58,95416,5,0,477080
36,57961,18,0,1043298
25,90032,7,0,630224
22,28028,18,0,504504
58,59815,5,0,299075
18,50241,7,0,351687
34,36285,4,1,145140
36,110124,16,0,1761984
31,96576,4,0,386304
20,74013,8,0,592104
22,41442,8,0,331536
57,59688,1,0,59688
29,61318,3,0,183954
29,83719,18,0,1506942
36,57657,13,0,749541
47,82225,16,0,1315600
59,98348,16,0,1573568
35,102778,3,0,308334
32,44146,3,1,132438
19,115259,18,0,2074662
29,110019,8,0,880152
26,69753,15,0,1046295
26,47969,7,0,335783
47,53391,16,0,854256
20,107770,12,0,1293240
19,33747,18,0,607446
35,21040,1,1,21040
52,98034,9,0,882306
27,116146,1,0,116146
37,114712,19,0,2179528
59,112362,4,0,449448
33,56137,19,0,1066603
47,49050,18,0,882900
31,57720,9,0,519480
53,118383,19,0,2249277
56,85402,1,0,85402
19,86907,11,0,955977
45,61009,14,0,854126
57,58749,14,0,822486
54,103389,2,0,206778
43,104728,19,0,1989832
46,31287,5,0,156435
31,44730,18,0,805140
47,27624,10,0,276240
46,86957,9,0,782613
52,44614,18,0,803052
32,58881,18,0,1059858
43,34745,14,0,486430
