age,salary,purchases,churn
24,28368,13,0
32,66761,15,0
25,117598,16,0
59,41520,2,1
56,99930,13,0
55,106148,19,0
56,115856,6,0
21,106983,8,0
52,23065,9,0
59,71149,8,0
19,54109,14,0
55,28802,1,1
37,115392,0,0
48,83086,6,0
44,36890,12,0
50,109461,14,0
50,97818,10,0
40,93916,10,0
38,47515,13,0
37,76803,8,0
53,41903,2,1
35,95945,1,0
46,109167,3,0
36,81257,13,0
43,80710,0,0
29,27140,5,0
18,36499,3,1
51,110202,10,0
28,62234,9,0
49,91358,2,0
44,88155,18,0
34,42633,16,0
20,113772,6,0
24,37463,2,1
28,29541,17,0
20,83352,14,0
44,102825,4,0
43,118977,1,0
44,20960,11,0
41,50277,14,0
20,33826,0,1
44,78332,9,0
45,75615,10,0
53,45075,10,0
48,118853,1,0
46,101395,16,0
18,98412,4,0
54,47714,11,0
47,93975,13,0
22,100602,4,0
34,52536,10,0
20,90738,8,0
23,25659,14,0
43,111795,18,0
36,111752,1,0
34,89623,2,0
29,63504,10,0
50,77782,18,0
49,32842,14,0
25,115314,8,0
36,62053,0,0
34,97032,5,0
43,85687,9,0
30,38537,7,0
44,58897,1,0
56,41306,6,0
43,22568,4,1
52,109133,7,0
43,64690,1,0
51,86388,15,0
54,82290,14,0
54,108466,1,0
33,116029,0,0
22,41457,14,0
28,44593,11,0
31,32826,15,0
43,42206,14,0
46,72846,10,0
30,97383,6,0
18,101338,0,0
24,91003,15,0
23,81257,16,0
36,101087,3,0
54,115463,5,0
41,86923,7,0
28,30009,14,0
35,35890,8,0
54,30702,9,0
26,79385,5,0
19,75066,10,0
45,92376,8,0
27,109824,16,0
20,85998,18,0
34,71930,13,0
20,107792,14,0
20,28595,5,0
55,29273,7,0
55,36623,19,0
22,61082,6,0
52,32473,4,1
42,62263,5,0
58,26025,11,0
48,105637,7,0
43,74440,12,0
20,28663,7,0
24,110307,6,0
53,36640,11,0
25,76444,17,0
20,64309,10,0
56,117589,19,0
52,22738,13,0
49,21459,15,0
39,46186,9,0
38,86730,17,0
44,88946,8,0
32,97349,18,0
29,99067,6,0
29,36975,17,0
24,100360,9,0
22,67631,16,0
54,37713,9,0
19,53621,1,0
21,34341,17,0
52,34440,5,0
25,72717,6,0
34,73432,18,0
18,68615,16,0
29,101558,0,0
26,115299,17,0
57,95038,1,0
20,118722,18,0
53,69869,5,0
37,64327,8,0
43,21327,8,0
37,69302,19,0
28,108826,10,0
38,92461,4,0
30,64000,9,0
58,83494,1,0
23,38642,15,0
55,32151,2,1
36,110785,18,0
39,37449,15,0
46,100916,5,0
34,39761,9,0
40,76427,9,0
21,93911,10,0
42,51252,14,0
55,43602,4,1
34,32465,15,0
22,69995,4,0
58,99526,19,0
41,47626,15,0
48,78915,2,0
49,62681,1,0
50,109606,7,0
49,99200,8,0
42,33032,17,0
51,25499,3,1
32,45751,12,0
52,110936,14,0
29,92591,18,0
21,28826,5,0
55,80309,0,0
54,74030,14,0
21,70295,17,0
56,44230,12,0
32,111926,10,0
26,90743,16,0
57,97479,13,0
42,42979,1,1
44,37967,17,0
29,108492,3,0
55,65733,16,0
56,51099,15,0
27,110311,7,0
42,25213,1,1
56,109777,12,0
55,27884,14,0
56,52020,5,0
37,68619,4,0
25,59614,15,0
56,100068,7,0
50,116206,8,0
49,72023,5,0
38,65833,0,0
33,118597,4,0
56,69637,0,0
21,67967,13,0
43,110491,0,0
37,89807,16,0
47,77570,0,0
24,68192,0,0
38,114452,14,0
47,60160,18,0
40,74702,4,0
37,105180,5,0
44,39583,11,0
41,47103,3,1
45,104871,11,0
51,89369,19,0
46,106246,11,0
51,88282,12,0
34,66723,14,0
41,60427,10,0
40,74138,18,0
32,79136,18,0
25,31776,10,0
56,45593,14,0
27,68279,10,0
33,42463,4,1
19,43496,1,1
28,35324,16,0
46,64370,15,0
27,69075,18,0
18,69152,6,0
43,114775,3,0
34,73309,16,0
52,33562,8,0
47,39514,7,0
28,86805,15,0
44,54278,7,0
36,99200,3,0
49,119545,1,0
43,78203,5,0
50,66161,7,0
53,111116,13,0
34,89413,0,0
39,87893,6,0
55,84201,9,0
49,71688,13,0
43,74594,19,0
58,93930,3,0
48,37627,13,0
29,88426,15,0
26,22517,19,0
43,34654,4,1
58,42865,12,0
53,88981,0,0
56,58278,8,0
25,27257,17,0
42,113229,9,0
52,45423,13,0
43,53751,15,0
27,91335,6,0
20,37897,3,1
47,52418,14,0
19,117951,13,0
59,77336,15,0
53,88019,17,0
53,64720,5,0
21,113250,17,0
53,67355,4,0
36,86341,2,0
30,99786,16,0
18,106493,1,0
27,37357,11,0
19,68655,5,0
21,82619,9,0
20,50353,10,0
25,53470,7,0
35,61931,10,0
35,46588,10,0
25,85099,4,0
41,113237,1,0
33,114799,9,0
50,111261,17,0
43,99137,17,0
20,63751,19,0
26,65377,11,0
45,101249,12,0
51,47831,2,1
36,42916,5,0
18,108795,4,0
45,103461,7,0
22,87151,11,0
33,112281,1,0
34,38034,14,0
38,79863,2,0
59,22999,11,0
32,45956,0,1
27,47245,16,0
28,20999,10,0
29,79232,16,0
38,37466,2,1
18,73525,15,0
59,68697,17,0
35,99831,11,0
25,78261,6,0
32,81629,11,0
40,58602,0,0
31,33780,12,0
32,106608,7,0
47,82635,11,0
55,86479,2,0
45,26388,10,0
47,73572,8,0
41,86639,10,0
55,71596,3,0
29,112112,5,0
54,79330,17,0
58,43759,11,0
59,47423,1,1
29,35190,3,1
54,86411,16,0
41,59020,14,0
41,106401,19,0
34,31136,10,0
39,30389,19,0
58,62028,19,0
31,117018,10,0
33,71327,3,0
53,77331,2,0
44,35796,5,0
32,70607,13,0
31,91652,17,0
42,25080,1,1
38,57761,1,0
24,24554,9,0
29,85618,14,0
36,31477,15,0
52,34871,6,0
45,84934,17,0
38,64873,19,0
21,68537,16,0
35,72399,0,0
34,45266,11,0
38,42452,17,0
20,62777,4,0
54,60460,19,0
47,107446,17,0
50,105671,0,0
57,48008,1,1
28,114150,4,0
31,78298,13,0
44,32694,16,0
47,50071,6,0
30,94504,4,0
35,65498,14,0
37,109374,1,0
53,68555,3,0
31,44822,8,0
59,116389,14,0
49,68689,5,0
43,55694,13,0
30,50496,13,0
30,66620,5,0
31,115167,7,0
51,44249,15,0
21,79744,11,0
34,31970,9,0
53,27106,13,0
49,74267,5,0
24,102869,19,0
22,86017,14,0
41,91103,4,0
41,30314,12,0
43,99681,12,0
28,78168,3,0
53,43590,18,0
47,73407,10,0
21,91927,10,0
56,100764,19,0
46,34498,8,0
41,65793,16,0
23,116201,15,0
35,94326,5,0
31,44091,0,1
46,58891,1,0
19,21310,11,0
46,29615,10,0
59,78159,18,0
52,71425,13,0
51,38538,18,0
51,26486,10,0
31,74493,6,0
54,79238,18,0
59,53074,7,0
40,43114,2,1
51,51393,13,0
56,55296,5,0
22,59476,1,0
37,47285,12,0
54,102113,6,0
48,27590,12,0
40,92908,17,0
49,88144,7,0
27,31295,16,0
19,97298,4,0
55,22496,11,0
36,118457,13,0
32,70902,0,0
29,84853,9,0
52,27878,15,0
56,52650,19,0
22,90758,17,0
34,61806,17,0
31,48680,19,0
49,104571,0,0
38,79708,18,0
20,102636,16,0
37,36406,14,0
42,105173,15,0
50,118259,13,0
49,34244,14,0
58,92634,16,0
51,21968,14,0
28,45173,11,0
59,109472,14,0
22,68859,5,0
47,65127,7,0
24,85586,11,0
59,24007,3,1
21,92028,17,0
20,59111,14,0
28,51122,18,0
21,72631,17,0
21,117554,16,0
56,114784,14,0
37,100978,0,0
56,73017,14,0
59,101593,15,0
25,105857,10,0
46,105096,12,0
44,70065,13,0
59,39869,1,1
41,70032,8,0
19,92594,8,0
21,81722,18,0
50,61008,12,0
23,94966,0,0
51,114960,17,0
51,53166,4,0
36,40159,8,0
49,66583,12,0
33,68850,9,0
20,100110,10,0
40,111409,9,0
31,92904,8,0
26,84434,7,0
59,94336,14,0
58,100211,1,0
58,31106,7,0
38,93201,4,0
39,74279,9,0
45,89384,16,0
50,42241,8,0
52,49586,16,0
28,93424,9,0
37,55917,13,0
26,35905,1,1
51,73192,14,0
29,35812,13,0
45,23337,10,0
29,108853,7,0
28,103092,8,0
59,93436,7,0
18,48759,3,1
52,111076,4,0
26,88635,17,0
21,63271,10,0
47,21419,5,0
48,100323,15,0
46,101691,13,0
24,66986,9,0
28,87395,6,0
43,85992,7,0
25,70661,10,0
57,30807,10,0
19,92520,18,0
31,39213,13,0
58,69163,4,0
48,117285,11,0
29,108109,6,0
45,44477,10,0
40,45415,10,0
42,99468,12,0
38,94001,11,0
52,56969,0,0
47,110666,5,0
53,115788,11,0
46,85773,0,0
55,107160,7,0
38,37641,10,0
18,92854,14,0
31,53549,11,0
48,66264,14,0
30,23557,17,0
22,25460,1,1
43,70029,5,0
34,86110,12,0
35,91147,7,0
48,66077,8,0
39,59297,15,0
54,32594,16,0
37,43370,9,0
29,63262,15,0
29,39735,16,0
59,111614,0,0
55,28016,9,0
39,59008,7,0
27,108339,9,0
27,52859,4,0
42,38095,14,0
18,82468,19,0
59,115418,0,0
29,53353,7,0
35,111465,10,0
52,117356,3,0
36,112051,4,0
57,22053,6,0
51,39415,7,0
32,61881,11,0
44,77297,10,0
19,30510,15,0
51,34547,12,0
57,80499,4,0
53,110449,8,0
48,112143,18,0
18,43346,12,0
53,67161,6,0
36,36244,16,0
39,98654,17,0
58,53382,16,0
52,97118,11,0
34,59643,17,0
56,108504,2,0
41,97421,19,0
32,92562,13,0
51,88252,10,0
37,35494,9,0
23,26651,14,0
40,107864,1,0
37,62582,6,0
36,26076,9,0
19,88563,10,0
45,35617,2,1
56,79689,4,0
30,32950,11,0
53,101294,2,0
33,81363,14,0
29,102048,16,0
58,84032,14,0
26,76271,12,0
23,43592,7,0
56,114846,16,0
40,40889,1,1
55,74428,17,0
58,112039,18,0
45,66174,10,0
32,98659,15,0
56,59279,15,0
56,50955,14,0
31,108042,0,0
37,81259,2,0
26,117391,7,0
39,63298,0,0
21,41652,5,0
18,89176,19,0
47,94690,12,0
52,118502,6,0
55,67320,3,0
53,66662,1,0
47,73723,10,0
28,55218,8,0
22,27817,6,0
43,63017,17,0
19,105050,0,0
21,115559,15,0
37,36555,3,1
32,68897,8,0
49,111270,15,0
19,20952,16,0
37,88931,14,0
49,119044,16,0
40,31740,3,1
33,44164,15,0
35,23250,9,0
46,43906,8,0
46,92474,17,0
47,34222,2,1
48,58106,6,0
45,60339,12,0
21,69803,2,0
37,102524,2,0
58,90968,7,0
44,101558,5,0
18,20833,10,0
56,37897,15,0
54,35351,7,0
54,23272,11,0
39,67969,19,0
38,108240,17,0
53,64399,5,0
24,109369,10,0
31,30434,5,0
27,32503,8,0
29,118155,14,0
22,42087,4,1
32,94015,13,0
38,32568,11,0
45,112599,11,0
25,20535,6,0
48,29159,0,1
35,73519,0,0
21,109286,4,0
55,54407,12,0
42,81931,11,0
38,93759,6,0
53,73021,6,0
50,85304,15,0
42,69578,2,0
56,32069,10,0
30,24561,18,0
44,46930,19,0
36,23429,19,0
18,25044,8,0
33,105531,3,0
26,58399,7,0
42,23434,1,1
26,31715,12,0
39,27202,9,0
55,87982,8,0
39,73227,4,0
43,48301,15,0
53,20985,19,0
20,65019,4,0
57,37430,6,0
20,93773,3,0
49,118815,18,0
26,59254,3,0
46,28886,4,1
22,89460,5,0
58,92891,1,0
29,48038,0,1
37,42432,5,0
23,106204,9,0
41,69964,11,0
49,60331,9,0
23,39542,11,0
18,54287,17,0
43,50583,10,0
45,62670,14,0
34,45791,0,1
19,50910,15,0
40,107950,10,0
44,35210,6,0
23,79851,8,0
59,57656,17,0
18,67062,5,0
20,117873,8,0
36,46484,3,1
24,58235,2,0
55,53625,14,0
25,96236,8,0
26,64364,4,0
56,107792,17,0
41,58847,6,0
22,59733,11,0
54,53029,17,0
26,45511,5,0
19,47221,1,1
56,82510,13,0
53,118923,17,0
45,29680,16,0
20,56782,13,0
57,59694,9,0
41,47644,2,1
31,50771,15,0
46,61403,5,0
32,38415,5,0
18,57600,10,0
21,41785,17,0
55,58506,17,0
37,105641,11,0
32,119101,10,0
35,47444,3,1
47,34779,19,0
30,98522,4,0
31,36409,11,0
48,114106,9,0
46,114613,4,0
22,119491,18,0
45,85868,4,0
32,32876,11,0
33,32586,10,0
22,31347,4,1
31,50411,10,0
19,21537,10,0
51,36152,1,1
36,93861,17,0
40,118631,0,0
57,67170,16,0
49,40640,2,1
48,114443,8,0
50,99084,0,0
19,111049,0,0
32,48585,5,0
59,96114,15,0
23,81724,4,0
44,26573,1,1
47,76174,15,0
31,114610,0,0
58,26657,8,0
44,53055,2,0
38,109017,14,0
58,56266,17,0
19,96866,15,0
25,28279,2,1
28,113641,13,0
49,82379,8,0
38,31242,19,0
41,28383,6,0
35,53308,6,0
38,77598,12,0
48,21111,18,0
50,28262,19,0
41,112158,17,0
44,98941,13,0
37,54813,12,0
27,116969,16,0
56,69783,3,0
27,58939,11,0
34,71112,0,0
34,84255,6,0
18,53692,8,0
40,96532,8,0
39,102106,14,0
38,43381,19,0
45,117101,17,0
53,51258,19,0
32,73856,9,0
42,110169,1,0
57,56756,6,0
42,52706,7,0
25,65086,11,0
40,77302,14,0
37,20730,18,0
49,65285,19,0
56,88303,10,0
59,36649,9,0
32,21141,7,0
53,55496,15,0
35,59035,0,0
37,48173,10,0
44,21571,9,0
30,65635,14,0
52,90825,10,0
29,58319,8,0
39,64008,14,0
35,117559,1,0
33,25608,2,1
46,45718,14,0
51,64459,14,0
42,84375,17,0
23,81895,8,0
27,50972,11,0
34,38064,4,1
40,37609,10,0
33,36457,18,0
38,70095,7,0
34,84001,17,0
35,49630,1,1
59,69959,4,0
40,110291,3,0
23,70561,4,0
47,37700,8,0
36,113847,11,0
44,33656,7,0
43,64467,9,0
49,40487,1,1
54,77661,13,0
43,21406,16,0
44,83163,17,0
50,109425,4,0
32,71148,10,0
41,89216,0,0
54,55005,8,0
38,103914,1,0
25,99433,0,0
36,54074,13,0
52,52213,7,0
34,34002,19,0
26,112840,4,0
26,62629,7,0
48,112502,3,0
53,67417,18,0
57,44518,14,0
59,95721,5,0
23,45946,3,1
33,58414,5,0
46,107221,13,0
33,63972,6,0
46,44650,1,1
51,59052,0,0
49,93806,6,0
49,91514,7,0
26,113444,0,0
56,21183,8,0
19,92652,10,0
39,65865,2,0
58,108685,19,0
39,110056,13,0
50,92714,0,0
51,94801,1,0
42,103962,11,0
46,24401,17,0
28,47730,1,1
18,98744,1,0
41,103984,16,0
53,82892,4,0
18,108437,11,0
46,94566,6,0
54,51356,19,0
45,97263,11,0
58,97387,12,0
28,61633,17,0
30,104003,10,0
39,43101,12,0
28,45273,6,0
51,110307,15,0
42,67645,17,0
19,99618,10,0
18,24217,1,1
38,81145,12,0
30,111315,17,0
51,111246,4,0
22,118621,19,0
56,65525,7,0
38,116818,10,0
23,68145,8,0
58,87255,12,0
47,48184,10,0
46,77649,6,0
45,55932,7,0
49,29959,8,0
51,59696,17,0
54,23346,13,0
23,97772,8,0
47,52715,13,0
34,115697,4,0
22,106134,11,0
35,84623,1,0
20,95286,17,0
21,56401,1,0
38,109011,10,0
19,60537,19,0
35,63277,16,0
35,57887,19,0
52,112336,6,0
25,46011,18,0
39,116306,10,0
48,38004,15,0
59,111342,18,0
58,57765,11,0
58,95416,5,0
36,57961,18,0
25,90032,7,0
22,28028,18,0
58,59815,5,0
18,50241,7,0
34,36285,4,1
36,110124,16,0
31,96576,4,0
20,74013,8,0
22,41442,8,0
57,59688,1,0
29,61318,3,0
29,83719,18,0
36,57657,13,0
47,82225,16,0
59,98348,16,0
35,102778,3,0
32,44146,3,1
19,115259,18,0
29,110019,8,0
26,69753,15,0
26,47969,7,0
47,53391,16,0
20,107770,12,0
19,33747,18,0
35,21040,1,1
52,98034,9,0
27,116146,1,0
37,114712,19,0
59,112362,4,0
33,56137,19,0
47,49050,18,0
31,57720,9,0
53,118383,19,0
56,85402,1,0
19,86907,11,0
45,61009,14,0
57,58749,14,0
54,103389,2,0
43,104728,19,0
46,31287,5,0
31,44730,18,0
47,27624,10,0
46,86957,9,0
52,44614,18,0
32,58881,18,0
43,34745,14,0
55,86893,1,0
24,75413,6,0
51,74180,4,0
59,95696,7,0
56,33232,1,1
24,110138,5,0
34,52206,15,0
36,78934,5,0
31,77075,4,0
33,73154,9,0
34,96667,2,0
25,69987,5,0
41,88998,13,0
33,105787,3,0
41,88679,11,0
58,36441,19,0
25,86817,14,0
49,49157,12,0
54,62436,5,0
34,28312,7,0
44,30725,7,0
58,105836,3,0
29,42523,3,1
42,111076,9,0
30,118634,5,0
19,41640,1,1
57,85238,5,0
45,110914,9,0
57,56747,4,0
51,64177,6,0
53,102624,5,0
28,111884,17,0
45,70718,10,0
28,109789,4,0
54,36578,17,0
28,93148,10,0
34,94378,18,0
33,31575,17,0
48,71738,9,0
19,80819,5,0
35,104024,6,0
22,22856,0,1
49,106821,9,0
59,114361,8,0
58,46115,7,0
57,33873,0,1
19,99814,3,0
50,49515,16,0
38,64706,3,0
19,43834,11,0
20,69587,19,0
26,104343,0,0
43,78187,9,0
27,30867,15,0
20,104148,7,0
44,95476,10,0
58,61261,10,0
33,59503,8,0
22,76571,6,0
50,50336,5,0
36,33860,2,1
24,30538,14,0
49,36546,11,0
58,71113,3,0
36,88036,10,0
44,40027,4,1
24,36395,1,1
43,62940,18,0
26,89834,1,0
57,21010,17,0
18,72269,3,0
33,101373,13,0
43,115397,2,0
32,77016,3,0
20,27035,13,0
44,76880,19,0
31,72814,11,0
53,75286,13,0
28,110690,3,0
22,70674,10,0
20,37468,14,0
22,93252,18,0
21,108486,18,0
21,77128,14,0
32,20377,7,0
23,72982,3,0
50,84691,11,0
39,28255,1,1
40,55855,18,0
22,58334,2,0
53,53202,8,0
50,41309,9,0
49,48480,18,0
30,104790,4,0
20,118480,0,0
48,90076,9,0
31,34219,19,0
24,49640,5,0
45,78427,14,0
40,28950,7,0
50,116327,16,0
57,37267,5,0
59,39219,3,1
40,55443,4,0
28,105092,4,0
29,114437,19,0
57,46030,1,1
36,68084,13,0
59,95805,0,0
48,51129,17,0
25,21839,10,0
45,24840,4,1
31,100443,5,0
47,77745,19,0
50,95850,15,0
19,72949,17,0
37,33571,10,0
27,88838,14,0
49,35247,1,1
27,30177,13,0
56,86351,13,0
53,109112,10,0
46,42020,1,1
24,119717,3,0
48,53042,13,0
55,65444,15,0
51,58649,7,0
20,64726,4,0
46,55140,15,0
25,52534,2,0
47,108189,13,0
27,57163,13,0
21,109259,10,0
36,100119,3,0
26,55656,14,0
42,42565,18,0
35,23119,8,0
23,79871,12,0
33,40916,14,0
30,99522,3,0
48,119332,17,0
37,48431,18,0
36,93624,8,0
32,76743,5,0
45,60203,8,0
24,46488,3,1
57,110519,7,0
20,42779,15,0
30,91736,8,0
49,115136,1,0
33,106286,17,0
28,30446,19,0
46,97762,18,0
58,70221,0,0
45,42776,16,0
34,109436,9,0
18,22042,5,0
59,39234,8,0
59,47793,8,0
40,24211,11,0
25,108471,7,0
50,42848,5,0
53,111673,8,0
45,85154,18,0
42,66054,10,0
45,64064,17,0
43,75912,11,0
57,68761,6,0
34,40219,2,1
56,78657,13,0
21,52613,10,0
29,105225,6,0
33,115772,0,0
28,96517,0,0
56,84903,13,0
40,39310,12,0
28,119379,7,0
28,90800,4,0
18,98470,7,0
24,22140,13,0
45,69770,5,0
35,42188,0,1
47,66232,5,0
27,22388,15,0
32,58683,6,0
23,68340,13,0
38,53638,5,0
28,109615,19,0
38,77477,8,0
42,67857,17,0
34,100004,3,0
33,77329,18,0
23,69123,15,0
54,54062,9,0
56,71785,0,0
32,83312,8,0
43,101149,18,0
41,105484,0,0
37,32630,11,0
58,107259,1,0
43,50139,14,0
42,36812,8,0
49,34377,9,0
24,116051,12,0
33,44639,11,0
40,78521,16,0
42,85187,18,0
22,85627,3,0
56,23104,18,0
38,28270,10,0
53,30195,1,1
55,53738,9,0
29,53871,7,0
48,115356,5,0
53,51393,6,0
24,117545,3,0
33,63487,1,0
57,94504,12,0
19,80139,2,0
41,31973,11,0
50,47836,5,0
43,101893,12,0
56,30027,16,0
50,40009,16,0
26,31436,19,0
43,105211,0,0
44,47799,4,1
37,97027,5,0
31,27623,12,0
38,88388,6,0
57,41658,19,0
37,56847,3,0
28,77996,2,0
33,116430,4,0
18,65785,13,0
28,32471,19,0
33,105560,1,0
52,99619,0,0
21,117539,8,0
40,41951,7,0
29,37920,5,0
31,83828,6,0
37,53692,17,0
41,34104,6,0
32,68810,5,0
20,78167,0,0
44,30557,3,1
32,53569,16,0
49,92333,1,0
41,112131,6,0
41,80940,11,0
51,109534,6,0
27,33831,10,0
26,54785,19,0
33,72739,19,0
48,63915,12,0
55,55222,14,0
58,57506,15,0
58,25668,11,0
36,80230,5,0
41,25659,19,0
42,80705,0,0
49,118866,11,0
46,23130,8,0
21,26148,1,1
42,41213,7,0
37,47771,18,0
51,52974,7,0
55,57038,13,0
18,76777,0,0
22,67558,5,0
48,30783,13,0
55,109262,19,0
53,68364,9,0
30,117733,1,0
54,23011,18,0
26,75826,18,0
54,43896,16,0
51,100110,9,0
42,45777,3,1
33,81327,19,0
44,116924,18,0
26,108157,0,0
58,112680,2,0
58,60656,5,0
55,65486,1,0
42,44421,13,0
20,94160,19,0
23,37752,7,0
49,47076,17,0
46,112296,15,0
41,106563,17,0
41,58285,14,0
19,110926,9,0
35,111833,14,0
37,56094,12,0
44,105370,4,0
43,25391,11,0
22,64073,7,0
43,30258,0,1
39,41181,3,1
30,89859,10,0
55,109480,14,0
35,47665,8,0
29,116894,3,0
56,71758,1,0
33,25373,19,0
49,89240,2,0
37,36010,7,0
38,34602,7,0
43,109554,7,0
36,32434,11,0
21,113600,5,0
33,113559,13,0
32,53340,18,0
57,86089,14,0
57,84429,14,0
18,88127,0,0
50,106001,4,0
36,65188,5,0
49,42986,6,0
34,115030,19,0
21,107930,5,0
31,47340,13,0
51,116936,8,0
37,113257,16,0
22,96196,17,0
28,58129,19,0
31,25215,13,0
53,116458,1,0
49,27288,18,0
18,58397,6,0
18,50258,16,0
20,68718,5,0
42,85087,1,0
35,84994,2,0
25,25264,13,0
52,43141,7,0
53,51855,8,0
47,56091,8,0
37,98939,11,0
35,37926,19,0
51,75600,6,0
30,117722,17,0
52,106216,15,0
18,119331,1,0
41,111600,10,0
18,53644,12,0
30,36090,12,0
31,96794,16,0
44,84596,14,0
33,102328,16,0
38,104907,1,0
36,46558,19,0
19,27260,7,0
54,93834,6,0
34,87771,6,0
38,81331,11,0
25,34473,16,0
28,72484,11,0
44,115466,1,0
33,62075,1,0
24,86988,0,0
43,42296,7,0
43,73253,3,0
56,95463,11,0
29,60867,6,0
24,47495,5,0
35,60661,17,0
26,115402,8,0
50,119047,17,0
41,117956,9,0
38,118436,0,0
40,53933,9,0
54,64160,17,0
22,61325,0,0
27,34801,4,1
58,73351,13,0
20,118127,6,0
24,96544,9,0
35,49578,15,0
36,106368,16,0
24,33978,16,0
33,105871,17,0
47,40344,4,1
27,111036,18,0
24,22109,6,0
32,94795,16,0
22,110045,7,0
47,86349,0,0
39,67901,6,0
36,21243,3,1
32,20125,0,1
41,33987,13,0
26,85492,12,0
49,61605,19,0
30,50044,18,0
32,60029,17,0
21,108631,4,0
44,92427,3,0
49,72572,15,0
54,64462,19,0
41,57067,17,0
52,93957,13,0
41,22253,19,0
30,22305,2,1
36,105321,18,0
